time,queue_length
5.614910877272403,17
5.614910877272403,16
5.710910877272407,16
5.710910877272407,15
5.743910877272408,15
5.743910877272408,14
5.7799108772724095,14
5.7799108772724095,13
5.78891087727241,13
5.78891087727241,12
5.80391087727241,12
5.80391087727241,11
5.857910877272412,11
5.857910877272412,10
5.863910877272413,10
5.863910877272413,9
6.031910877272419,9
6.031910877272419,8
6.091910877272421,8
6.091910877272421,7
6.220910877272426,7
6.220910877272426,6
6.2539108772724274,6
6.2539108772724274,5
6.2809108772724285,5
6.2809108772724285,4
6.424910877272434,4
6.424910877272434,3
6.463910877272435,3
6.463910877272435,2
6.6259108772724415,2
6.6259108772724415,1
6.682910877272444,1
6.682910877272444,0
7.342833290517078,0
7.342833290517078,1
7.342833290517078,1
7.342833290517078,0
7.353145225208752,0
7.353145225208752,1
7.3682659523095095,1
7.3682659523095095,2
7.382463581974344,2
7.382463581974344,3
7.397304958338003,3
7.397304958338003,4
7.403714221667003,4
7.403714221667003,5
7.412094491514852,5
7.412094491514852,6
7.417496197329578,6
7.417496197329578,5
7.419660796295627,5
7.419660796295627,6
7.434793173007281,6
7.434793173007281,7
7.450984502344363,7
7.450984502344363,8
7.4555577633877546,8
7.4555577633877546,9
7.4604952986780155,9
7.4604952986780155,10
7.46249619732958,10
7.46249619732958,9
7.466235477560216,9
7.466235477560216,10
7.471995517165221,10
7.471995517165221,11
7.481378980482136,11
7.481378980482136,12
7.49226235893588,12
7.49226235893588,13
7.498445910253779,13
7.498445910253779,14
7.500904858142524,14
7.500904858142524,15
7.5093376877587295,15
7.5093376877587295,16
7.517054939208413,16
7.517054939208413,17
7.527610252829785,17
7.527610252829785,18
7.543734862957346,18
7.543734862957346,19
7.552496197329583,19
7.552496197329583,18
7.5560779716201045,18
7.5560779716201045,19
7.565901048256324,19
7.565901048256324,20
7.577194383847815,20
7.577194383847815,21
7.589331665035088,21
7.589331665035088,22
7.59250916269751,22
7.59250916269751,23
7.6078624380423445,23
7.6078624380423445,24
7.612496197329586,24
7.612496197329586,23
7.621493998708512,23
7.621493998708512,24
7.636486988560049,24
7.636486988560049,25
7.6503763615052796,25
7.6503763615052796,26
7.654496197329587,26
7.654496197329587,25
7.658426617764514,25
7.658426617764514,26
7.666571912949926,26
7.666571912949926,27
7.670462847099355,27
7.670462847099355,28
7.681996616845229,28
7.681996616845229,29
7.685292985476538,29
7.685292985476538,30
7.688662791144678,30
7.688662791144678,31
7.694068981015103,31
7.694068981015103,32
7.696496197329589,32
7.696496197329589,31
7.698806146919021,31
7.698806146919021,32
7.706102919511167,32
7.706102919511167,33
7.709260008207187,33
7.709260008207187,34
7.711663367466567,34
7.711663367466567,35
7.716241582491391,35
7.716241582491391,36
7.720102669390917,36
7.720102669390917,37
7.727738652268214,37
7.727738652268214,38
7.730505865036206,38
7.730505865036206,39
7.73249619732959,39
7.73249619732959,38
7.7384961973295905,38
7.7384961973295905,37
7.7454962512703895,37
7.7454962512703895,38
7.756738844694544,38
7.756738844694544,39
7.761277971683309,39
7.761277971683309,40
7.767310483377731,40
7.767310483377731,41
7.771496197329592,41
7.771496197329592,40
7.774712892840904,40
7.774712892840904,41
7.782356846370112,41
7.782356846370112,42
7.786525774493088,42
7.786525774493088,43
7.801150466234466,43
7.801150466234466,44
7.817851145427014,44
7.817851145427014,45
7.826961393638917,45
7.826961393638917,46
7.836328612691311,46
7.836328612691311,47
7.83996535181772,47
7.83996535181772,48
7.843836853498893,48
7.843836853498893,49
7.8511708095695925,49
7.8511708095695925,50
7.85738330881032,50
7.85738330881032,51
7.871718826255271,51
7.871718826255271,52
7.876443542246851,52
7.876443542246851,53
7.879176120629903,53
7.879176120629903,54
7.894496197329596,54
7.894496197329596,53
7.8952703128792985,53
7.8952703128792985,54
7.905277219367905,54
7.905277219367905,55
7.909788295928052,55
7.909788295928052,56
7.9200099788607545,56
7.9200099788607545,57
7.922799390737234,57
7.922799390737234,58
7.932804166686745,58
7.932804166686745,59
7.9934961973296,59
7.9934961973296,58
8.056496197329603,58
8.056496197329603,57
8.23349619732961,57
8.23349619732961,56
8.323496197329613,56
8.323496197329613,55
8.332496197329613,55
8.332496197329613,54
8.356496197329614,54
8.356496197329614,53
8.398496197329615,53
8.398496197329615,52
8.545496197329621,52
8.545496197329621,51
8.590496197329623,51
8.590496197329623,50
8.644496197329625,50
8.644496197329625,49
8.677496197329626,49
8.677496197329626,48
8.866496197329633,48
8.866496197329633,47
8.902496197329635,47
8.902496197329635,46
9.100496197329642,46
9.100496197329642,45
9.181496197329645,45
9.181496197329645,44
9.196496197329646,44
9.196496197329646,43
9.334496197329651,43
9.334496197329651,42
9.409496197329654,42
9.409496197329654,41
9.634496197329662,41
9.634496197329662,40
9.670496197329664,40
9.670496197329664,39
9.694496197329665,39
9.694496197329665,38
9.727496197329666,38
9.727496197329666,37
9.937496197329674,37
9.937496197329674,36
9.994496197329676,36
9.994496197329676,35
10.069496197329679,35
10.069496197329679,34
10.10549619732968,34
10.10549619732968,33
10.168496197329683,33
10.168496197329683,32
10.327496197329689,32
10.327496197329689,31
10.35149619732969,31
10.35149619732969,30
10.390496197329691,30
10.390496197329691,29
10.438496197329693,29
10.438496197329693,28
10.456496197329693,28
10.456496197329693,27
10.570496197329698,27
10.570496197329698,26
10.807496197329707,26
10.807496197329707,25
10.849496197329708,25
10.849496197329708,24
10.87649619732971,24
10.87649619732971,23
10.927496197329711,23
10.927496197329711,22
10.993496197329714,22
10.993496197329714,21
11.047496197329716,21
11.047496197329716,20
11.071496197329717,20
11.071496197329717,19
11.17049619732972,19
11.17049619732972,18
11.185496197329721,18
11.185496197329721,17
11.221496197329722,17
11.221496197329722,16
11.236496197329723,16
11.236496197329723,15
11.329496197329727,15
11.329496197329727,14
11.338496197329727,14
11.338496197329727,13
11.43149619732973,13
11.43149619732973,12
11.449496197329731,12
11.449496197329731,11
11.560496197329735,11
11.560496197329735,10
11.584496197329736,10
11.584496197329736,9
11.602496197329737,9
11.602496197329737,8
11.647496197329739,8
11.647496197329739,7
11.69849619732974,7
11.69849619732974,6
11.713496197329741,6
11.713496197329741,5
11.743496197329742,5
11.743496197329742,4
11.809496197329745,4
11.809496197329745,3
11.857496197329747,3
11.857496197329747,2
11.866496197329747,2
11.866496197329747,1
11.890496197329748,1
11.890496197329748,0
13.438521233954233,0
13.438521233954233,1
13.438521233954233,1
13.438521233954233,0
13.453353114390405,0
13.453353114390405,1
13.465778348107477,1
13.465778348107477,2
13.47193840694758,2
13.47193840694758,3
13.479618883948941,3
13.479618883948941,4
13.484424289246235,4
13.484424289246235,5
13.497940195127224,5
13.497940195127224,6
13.508009525651122,6
13.508009525651122,7
13.521627916086391,7
13.521627916086391,8
13.52877509201508,8
13.52877509201508,9
13.534386892107765,9
13.534386892107765,10
13.548472654061305,10
13.548472654061305,11
13.565055589189814,11
13.565055589189814,12
13.579733443891767,12
13.579733443891767,13
13.59374097551268,13
13.59374097551268,14
13.594521233954238,14
13.594521233954238,13
13.606521233954238,13
13.606521233954238,12
13.607924969896565,12
13.607924969896565,13
13.620979141389975,13
13.620979141389975,14
13.62664419004643,14
13.62664419004643,15
13.636498187675537,15
13.636498187675537,16
13.64252123395424,16
13.64252123395424,15
13.644018288299849,15
13.644018288299849,16
13.646835602470524,16
13.646835602470524,17
13.649637896356602,17
13.649637896356602,18
13.656061523318908,18
13.656061523318908,19
13.662193634149963,19
13.662193634149963,20
13.674565950110445,20
13.674565950110445,21
13.69073976720976,21
13.69073976720976,22
13.6995798457696,22
13.6995798457696,23
13.715472951067978,23
13.715472951067978,24
13.7321006991061,24
13.7321006991061,25
13.735521233954243,25
13.735521233954243,24
13.748252708197127,24
13.748252708197127,25
13.755903464946337,25
13.755903464946337,26
13.761478122397483,26
13.761478122397483,27
13.767144702302405,27
13.767144702302405,28
13.772377271055642,28
13.772377271055642,29
13.77772024748682,29
13.77772024748682,30
13.789106803609926,30
13.789106803609926,31
13.804471243675456,31
13.804471243675456,32
13.818973515268278,32
13.818973515268278,33
13.828277932606444,33
13.828277932606444,34
13.840080816423354,34
13.840080816423354,35
13.852521233954247,35
13.852521233954247,34
13.853995686349188,34
13.853995686349188,35
13.857616496554074,35
13.857616496554074,36
13.869528929917024,36
13.869528929917024,37
13.88502972069777,37
13.88502972069777,38
13.898694882228781,38
13.898694882228781,39
13.911896904850341,39
13.911896904850341,40
13.921180576372494,40
13.921180576372494,41
13.926151289116556,41
13.926151289116556,42
13.939914839323247,42
13.939914839323247,43
13.947103087001297,43
13.947103087001297,44
13.96103494639341,44
13.96103494639341,45
13.977426811354754,45
13.977426811354754,46
13.985526885683754,46
13.985526885683754,47
13.99370685586105,47
13.99370685586105,48
14.009740732754144,48
14.009740732754144,49
14.022577833539277,49
14.022577833539277,50
14.027425886242872,50
14.027425886242872,51
14.031655238731961,51
14.031655238731961,52
14.036231808817455,52
14.036231808817455,53
14.041521233954255,53
14.041521233954255,52
14.051661678996012,52
14.051661678996012,53
14.065675307537276,53
14.065675307537276,54
14.070180217583188,54
14.070180217583188,55
14.084481968473954,55
14.084481968473954,56
14.100998374059591,56
14.100998374059591,57
14.11286303747499,57
14.11286303747499,58
14.120308905650058,58
14.120308905650058,59
14.122521233954258,59
14.122521233954258,58
14.130609610283468,58
14.130609610283468,59
14.134895777752405,59
14.134895777752405,60
14.137500876061853,60
14.137500876061853,61
14.137521233954258,61
14.137521233954258,60
14.153881694614077,60
14.153881694614077,61
14.16563700985738,61
14.16563700985738,62
14.175619776935605,62
14.175619776935605,63
14.191463974128432,63
14.191463974128432,64
14.20011083001774,64
14.20011083001774,65
14.209521233954261,65
14.209521233954261,64
14.215063928180788,64
14.215063928180788,65
14.227521233954262,65
14.227521233954262,64
14.229360563806928,64
14.229360563806928,65
14.234799573464453,65
14.234799573464453,66
14.236521233954262,66
14.236521233954262,65
14.240825994748116,65
14.240825994748116,66
14.247444714546567,66
14.247444714546567,67
14.253308481799408,67
14.253308481799408,68
14.264153177020997,68
14.264153177020997,69
14.270288030072889,69
14.270288030072889,70
14.278721810832554,70
14.278721810832554,71
14.283009271774205,71
14.283009271774205,72
14.290521233954264,72
14.290521233954264,71
14.29851351738515,71
14.29851351738515,72
14.306008007330076,72
14.306008007330076,73
14.31500552553527,73
14.31500552553527,74
14.325805747852673,74
14.325805747852673,75
14.341227621406079,75
14.341227621406079,76
14.349684668504288,76
14.349684668504288,77
14.356521233954266,77
14.356521233954266,76
14.371521233954267,76
14.371521233954267,75
14.410521233954269,75
14.410521233954269,74
14.42852123395427,74
14.42852123395427,73
14.44652123395427,73
14.44652123395427,72
14.488521233954271,72
14.488521233954271,71
14.518521233954273,71
14.518521233954273,70
14.593521233954275,70
14.593521233954275,69
14.746521233954281,69
14.746521233954281,68
14.791521233954283,68
14.791521233954283,67
14.833521233954285,67
14.833521233954285,66
14.872521233954286,66
14.872521233954286,65
14.929521233954288,65
14.929521233954288,64
14.95652123395429,64
14.95652123395429,63
15.007521233954291,63
15.007521233954291,62
15.025521233954292,62
15.025521233954292,61
15.055521233954293,61
15.055521233954293,60
15.082521233954294,60
